sprint_donem;bitis_donem;sprint_faaliyetleri;sno;plan_sure;is_durum;baslama_t;inceleme_t;tamamlanma_t;gercek_sure;performans_gostergeler;guncel_tarih;guncelleyen;pkod;;;
1;1;Kültür Yayýnlarý-Telif Eser Sözleþmesi üzerinde çalýþýldý ve son hali verildi.;77;4;Tamamlandý;19.01.2026;30.01.2026;30.01.2026;4;;16.03.2026;fatih.ozdemir;6;;;
1;1;Trabzon AFAD ile 'Afet Farkýndalýk Eðitimi' planlamasý yapýldý ve eðitime katýlýndý.;77;1;Tamamlandý;12.01.2026;26.01.2026;26.01.2026;1;;16.03.2026;fatih.ozdemir;6;;;
1;1;SiberVatan 6 ildeki tüm öðrencilerin Telegram kanallarýna katýlmasý saðlandý.;77;1;Tamamlandý;26.01.2026;30.01.2026;30.01.2026;1;;16.03.2026;fatih.ozdemir;6;;;
4;;Düzköy Turizm Master Planý satýnalmasý yapýlacak;49;1;Baþladý;16.03.2026;;;;;16.03.2026;fatih.ozdemir;3;;;
3;3;Bölge tanýtým broþürleri hazýrlanacak;50;1;Tamamlandý;2.03.2026;4.03.2026;6.03.2026;1;ÇGSTU45;16.03.2026;fatih.ozdemir;7;;;
4;4;SiberVatan Trabzon Üni yazýlarý ve Artvin Eðitimi hazýrlýk iþlemleri yapýlacak.;77;1;Tamamlandý;17 03 2026;;18 03 2026;;;19.03.2026;fatih.ozdemir;6;;;
4;;VAO-Panel Veri Analizi ve Ýstatistik modülleri eðitimleri.;77;3;Baþladý;18.03.2026;;;;;19.03.2026;fatih.ozdemir;6;;;
4;;Erasmus + projesi ortaklarýn wp,pm,çýktý ve bütçe ayrýntýlarý netleþtirilecek;44;4;Baþladý;16.03.2026;;;;;19.03.2026;zubeyde.altun;1;;;
4;;Erasmus + projesi application form hazýrlanacak ;44;7;Baþladý;16.03.2026;;;;;19.03.2026;zubeyde.altun;1;;;
4;;Veri Analizi Okulu-Temel Ýstatistik ve Hesaplamalý Sosyal Bilimler eðitimlerine katýlým saðlanacak;77;3;Baþladý;19.03.2026;;;;;19.03.2026;zubeyde.altun;1;;;
4;;Yeþil Sertifika eðitimine katýlým saðlanacak;77;1;Ýncelemede;;19.03.2026;;;;19.03.2026;zubeyde.altun;1;;;
3;3;DOKA Hafýza Giresun Kültür Varlýðý eseri ödeme iþlemleri yapýldý.;77;1;Tamamlandý;23.02.2026;;27.02.2026;1;;24 03 2026;nuray.efendioglu;6;;;
3;3;UNDP Sivil Katýlým Projesi Eylem Planý üzerinde çalýþýldý.;77;1;Tamamlandý;23.02.2026;;27.02.2026;1;;24 03 2026;nuray.efendioglu;6;;;
3;3;VAO-Panel Veri Analizi ve Ýstatistik modülleri eðitimleri.;77;3;Tamamlandý;25.02.2026;;11.03.2026;3;;24 03 2026;nuray.efendioglu;6;;;
